Start x,Start y,End x,End y,Nav. by wheelchair?,No Stairs?
1721.4,493.9,1721.9,461.9,T,T
2066.2,2186.6,2065.1,2177.9,T,T
1721.9,535.6,1606.6,539,T,T
746.5,1458.2,754.4,1449.3,T,T
2122.8,2127.1,2137.1,2117.3,T,T
2137.1,2117.3,2148.5,2102.2,T,T
754.4,1449.3,761.3,1446.2,T,T
2644.3,1600.9,2644.9,1618.2,T,T
756.4,1436,777.6,1443.4,T,T
2153.4,2079.4,2166.5,2110.3,T,T
1065.1,1152.3,1068.4,1130.5,T,T
1839.2,385.4,1803.9,388.2,T,T
1068.4,1130.5,1087.2,1130.5,T,T
1600,625.6,1564.7,625.6,T,T
1343.3,879.5,1346.8,849.4,T,T
1756,460.9,1757.1,445.2,T,T
1606.6,539,1675.7,598.7,T,T
1803.9,388.2,1804.6,425,T,T
1370.6,807.3,1370.6,878.2,T,T
2066.2,2203.4,2066.2,2186.6,T,T
777.6,1443.4,761.3,1446.2,T,T
2282.5,1954.6,2309.4,1979,T,T
1829.2,409.3,1803.9,388.2,T,T
1282.2,968.5,1283.8,897.3,T,T
1292.1,897.6,1342.9,899.9,T,T
1228.7,1018.3,1229.4,956.3,T,T
2028.1,2223.6,2049.7,2229.3,T,T
746.5,1458.2,724.9,1505.4,T,T
1292.1,897.6,1290.8,955,T,T
2137.1,2117.3,2166.5,2110.3,T,T
2637.8,1633.9,2644.9,1618.2,T,T
2557.2,1741.6,2573.4,1662.6,T,T
1869.2,359.1,1855.6,359.6,T,T
1564.4,675.3,1564.4,640.9,T,T
898.2,1299.4,947.9,1300.4,T,T
1564.4,640.9,1600,640.9,T,T
1721.4,511.7,1721.4,493.9,T,T
963.5,1219.2,1046.7,1218.9,T,T
2313,1964,2310,1962,T,T
1065.1,1152.3,1086.6,1151.6,T,T
1086.6,1151.6,1087.2,1130.5,T,T
2288,1992,2285,1988,T,T
2066.2,2203.4,2060.2,2224.8,T,T
2112.2,2189.3,2066.2,2186.6,T,T
1839.2,385.4,1846,391.1,T,T
1839.2,385.4,1851.4,385,T,T
2288,1992,2313,1964,T,T
2637.8,1633.9,2645.4,1642,T,T
1343.3,879.5,1342.9,899.9,T,T
2277,2004,2288,1992,T,T
2049.7,2229.3,2060.2,2224.8,T,T
2284.6,2030.2,2242.9,2007.6,T,T
777.6,1443.4,798.1,1450.1,T,T
1046,1229.8,964.2,1230.1,T,T
1343.3,879.5,1370.6,878.2,T,T
1804.6,425,1810,431.5,T,T
1804.6,437.9,1804.6,425,T,T
1851.4,385,1846,391.1,T,T
1829.2,409.3,1846,391.1,T,T
1564.4,675.3,1573.9,661.9,T,T
1829.2,409.3,1810,431.5,T,T
2666,1647.4,2644.9,1618.2,T,T
2162.8,1955.5,2268.9,2189.3,T,T
2261.1,2075.6,2226.4,2014.5,T,T
1756,460.9,1756,509,T,T
2427,1802,2436,1804,T,T
1804.6,437.9,1810,431.5,T,T
1593.8,655.4,1573.9,661.9,T,T
1635.2,625.6,1600,625.6,T,T
1480.9,862.8,1487,657.4,T,T
3448.5,827.5,3440.2,869,T,T
1593.8,655.4,1600,640.9,T,T
1721.4,511.7,1721.9,535.6,T,T
1087.2,1130.5,1141.7,1133.1,T,T
1563,692,1564.4,675.3,T,T
1046.3,1243,964.2,1243,T,T
1869.2,359.1,1910.3,358.5,T,T
1829.2,409.3,1841,421.9,T,T
2295,2021,2277,2004,T,T
1065.1,1152.3,1067.8,1219.9,T,T
1721.4,511.7,1749.5,523.6,T,T
2183.7,2142.8,2166.5,2110.3,T,T
2635.1,1687,2645.4,1642,T,T
1366.4,899.6,1370.6,878.2,T,T
812.9,1454.8,798.1,1450.1,T,T
2557.2,1741.6,2561,1753,T,T
1634.8,640.5,1600,640.9,T,T
2066.2,2203.4,2140.4,2210.4,T,T
1721.9,535.6,1732.2,536.1,T,T
2140.1,2184.1,2112.2,2189.3,T,T
1206.6,1098.5,1207,1019,T,T
1721.9,535.6,1675.7,598.7,T,T
2284.6,2030.2,2295,2021,T,T
1086.6,1151.6,1150,1151.6,T,T
2276.5,2045.9,2284.6,2030.2,T,T
1046,1229.8,1046.7,1218.9,F,F
1749.5,523.6,1732.2,536.1,T,T
1851.4,385,1922.5,385.4,T,T
3425.9,906.5,3440.2,869,T,T
1841,464.3,1810,431.5,T,T
1417.7,880.4,1370.6,878.2,T,T
1515,644.3,1510.4,877.4,T,T
2284.6,2030.2,2294.2,2036.6,T,T
1290.8,955,1289.1,1014.7,T,T
1067.8,1219.9,1046.7,1218.9,F,F
1345.2,965.2,1342.9,899.9,T,T
1756,509,1757.1,531.2,T,T
1151.9,1133.1,1141.7,1133.1,T,T
1749.5,523.6,1757.1,531.2,T,T
1635.2,625.6,1675.4,626,T,T
2276.5,2045.9,2261.1,2075.6,T,T
2167.4,2168.2,2140.1,2184.1,T,T
1046,1229.8,1046.3,1243,T,T
2183.7,2142.8,2179.9,2155.2,T,T
1282.2,968.5,1281.2,1035.8,T,T
1086.6,1151.6,1087.6,1242,T,T
1910.3,358.5,1939.5,358.5,T,T
2495.7,1846.2,2479.2,1842.8,T,T
1227.8,1097.2,1228.7,1018.3,T,T
2167.4,2168.2,2179.9,2155.2,T,T
2157.1,65.9,2153.4,197.5,T,T
1067.4,1242.7,1046.7,1218.9,F,F
1366.3,943.2,1366.4,899.6,T,T
1675.4,626,1675.7,598.7,F,F
2301.2,2042.6,2294.2,2036.6,T,T
1417.1,899.9,1366.4,899.6,T,T
1067.4,1242.7,1046,1229.8,T,T
2561,1753,2517.1,1851.5,T,T
2140.1,2184.1,2182.6,2181.6,T,T
2620.5,1746,2635.1,1687,T,T
1634.8,640.5,1676.9,641.3,T,T
1067.4,1242.7,1067.8,1219.9,T,T
1067.4,1242.7,1046.3,1243,T,T
2167.4,2168.2,2182.6,2181.6,T,T
1730.7,607.2,1732.2,536.1,T,T
1429.6,880.9,1417.7,880.4,T,T
3388.3,985.3,3425.9,906.5,T,T
2183.7,2142.8,2200.4,2180.6,T,T
1730.7,607.2,1675.7,598.7,T,T
2495.7,1846.2,2517.1,1851.5,F,F
2689.3,1700,2635.1,1687,T,T
1675.4,626,1676.9,641.3,T,T
1203.7,1133.1,1151.9,1133.1,T,T
1922.5,385.4,1935,385,T,T
2135.6,1969.9,2299.9,2320.7,T,T
1922.5,385.4,1931.4,393.2,T,T
1289.1,1014.7,1287.8,1040.8,T,T
1804.6,437.9,1804.7,585.9,T,T
1841,421.9,1912.1,462.5,T,T
1067.4,1242.7,1087.6,1242,T,T
1206.6,1098.5,1203.7,1133.1,T,T
1417.1,899.9,1428,899.3,T,T
1931.4,393.2,1935,385,T,T
1989.3,359.6,1939.5,358.5,T,T
1150,1151.6,1198.4,1151.6,T,T
2182.6,2181.6,2200.4,2180.6,T,T
1675.4,626,1723.6,626,T,T
2261.1,2075.6,2269,2142,T,T
2620.5,1746,2615.6,1769.8,T,T
2125.5,2254,2115.7,2260.5,T,T
2689.3,1700,2620.5,1746,T,T
1759.3,612.4,1757.1,531.2,T,T
1424.7,907.8,1428,899.3,T,T
2340.5,2076.5,2301.2,2042.6,T,T
1429.6,880.9,1480.1,881.1,T,T
2469.7,1928.4,2467.4,1902,T,T
2212.4,2205,2140.4,2210.4,T,T
1841,464.3,1912.1,462.5,T,T
1721.4,641.5,1676.9,641.3,T,T
1087.6,1242,1110.3,1241.7,T,T
3388.3,985.3,3366.6,1037.3,T,T
2125.5,2254,2142.8,2254.8,T,T
2477.7,1931.8,2517.1,1851.5,T,T
